LIBID,LIBNAME,C_LEGBAS,C_ADMIN,C_FSCS,GEOCODE,POPU_LSA,POPU_UND,CENTLIB,BRANLIB,LIBRARIA,OTHPAID,TOTSTAFF,LOCGVT,STGVT,FEDGVT,OTHINCM,TOTINCM,SALARIES,BENEFIT,STAFFEXP,PRMATEXP,ELMATEXP,OTHMATEX,TOTEXPCO,OTHOPEXP,TOTOPEXP,CAPITAL,BKVOL,EBOOK,AUDIO_PH,AUDIO_DL,VIDEO_PH,VIDEO_DL,HRS_OPEN,VISITS,REGBOR,TOTCIR,KIDCIRCL,ELMATCIR,PHYSCIR,LOANTO,LOANFM,TOTPRO,KIDPRO,YAPRO,TOTATTEN,KIDATTEN,YAATTEN,GPTERMS,PITUSR,WIFISESS,WEBVISIT
AK0001-002,ANCHOR POINT PUBLIC LIBRARY,NP,SO,Y,CI1,2057,2057,1,0,0.68,0,0.68,0,11993,0,40548,52541,-9,-9,-9,2791,500,749,4040,-9,53155,0,18710,0,180,0,3510,0,1390,5142,1804,7784,1425,0,7784,0,14,38,36,0,451,437,0,5,1340,1164,-1
AK0002-011,ANCHORAGE PUBLIC LIBRARY,CO,MO,Y,MA1,295365,295365,1,4,29.7,44.5,74.2,13618333,35000,132269,267175,14052777,3537968,2989688,6527656,548838,364040,139750,1052628,4370276,11950560,0,343151,20844,26208,13099,61569,0,11076,748395,135828,2119343,474681,909518,1209825,1777,1606,2506,1320,347,61226,44545,3458,161,112758,110348,1551748
AK0003-002,ANDERSON COMMUNITY LIBRARY,CI,SO,Y,CI1,269,269,1,0,0,0.25,0.25,5000,7000,0,967,12967,-9,-9,-9,2279,220,1473,3972,-9,12367,0,15414,0,262,0,1353,0,480,1250,130,1194,0,0,1194,0,0,10,8,1,40,20,10,5,288,0,-1
AK0006-002,KUSKOKWIM CONSORTIUM LIBRARY,MJ,SO,Y,CI1,6135,6135,1,0,2,3,5,86365,77982,2750,7000,174097,108800,53900,162700,4747,1675,764,7186,4211,174097,0,35284,20844,426,13099,2923,0,2040,48000,1824,10770,1260,1502,9268,6,5,343,205,27,8668,3281,215,8,7380,5977,-1
AK0007-002,BIG LAKE PUBLIC LIBRARY,CO,SO,Y,CO1,8736,8736,1,0,1,2,3,366819,8250,1250,0,376319,182978,90687,273665,20955,0,982,21937,71213,366815,0,29586,20846,2268,13486,4043,0,2551,50745,3157,29525,12402,5091,24434,91,80,375,160,36,5933,3326,988,13,8349,4447,-1
AK0008-002,CANTWELL COMMUNITY LIBRARY,NP,SO,Y,CI1,202,202,1,0,0.8,0,0.8,5690,7000,6313,3358,22361,-9,-9,-9,4695,320,1045,6060,-9,21523,0,10627,20844,299,13099,592,0,720,2300,182,2553,1097,58,2495,6,20,43,30,5,489,119,60,1,45,100,0
AK0011-002,CHINIAK PUBLIC LIBRARY,NP,SO,N,CI1,44,44,1,0,0,0,0,0,7000,2063,0,9063,-9,-9,-9,3309,448,752,4509,-9,7000,0,2800,20,0,0,377,0,144,220,45,693,298,32,661,0,0,9,9,0,84,84,0,2,48,250,-1
AK0014-002,COLD BAY PUBLIC LIBRARY,NP,SO,Y,CI1,63,63,1,0,0.5,0,0.5,22000,10120,2117,33480,67717,-9,-9,-9,1769,0,2878,4647,-9,65071,0,2010,0,446,0,1493,0,786,1044,77,381,106,0,381,0,0,38,27,0,349,206,0,2,192,992,-1
AK0015-002,COOPER LANDING COMMUNITY LIBRARY,NP,SO,N,CI1,265,265,1,0,0,0,0,1260,8804,1250,13426,24740,-9,-9,-9,4153,0,733,4886,-9,14846,0,4324,0,0,0,900,0,1092,2455,827,2332,623,0,2332,0,69,7,1,0,57,10,0,4,280,350,1747
AK0016-002,CORDOVA PUBLIC LIBRARY,CI,SO,Y,CI1,2360,2360,1,0,3,2,5,732864,8049,0,0,740913,382651,207092,589743,8237,3725,540,12502,145137,747382,0,18531,20844,569,13099,1379,0,2380,19384,2675,14446,4830,2622,11824,0,185,236,118,40,3708,2821,193,6,5914,8084,4013
AK0017-003,CRAIG PUBLIC LIBRARY,CI,SO,Y,CI1,1095,1095,1,0,1,0.73,1.73,137549,7000,10207,19754,174510,-9,-9,-9,7545,1259,6787,15591,-9,127417,0,10099,20844,426,13099,4007,0,2270,13654,1794,24693,7113,840,23853,0,175,114,97,3,1401,1261,37,4,3280,3315,-1
AK0018-002,IPNATCHIAQ LIBRARY,CI,SO,Y,CI1,168,168,1,0,0.3,0,0.3,0,14000,0,0,14000,-9,-9,-9,906,0,0,906,-9,15332,0,2640,31,426,0,288,0,537,1503,34,78,37,10,68,0,1,0,0,0,0,0,0,1,55,0,55
AK0019-002,DELTA COMMUNITY LIBRARY,CI,SO,Y,CI1,1177,1177,1,0,1,1.8,2.8,252677,7000,1250,14000,274927,126651,59666,186317,7565,790,885,9240,52551,248108,0,11450,20844,633,13099,3944,0,2392,42560,6824,70168,15705,5229,64939,175,239,127,106,7,3255,2272,250,7,3752,25000,-1
AK0020-002,DILLINGHAM PUBLIC LIBRARY,CI,SO,Y,CI1,2382,2382,1,0,1,0.7,1.7,103877,14729,12678,5652,136936,-9,-9,-9,6705,1720,2972,11397,-9,206759,0,28023,20844,79,13099,5079,0,1560,22604,2386,23759,328,1060,22699,0,182,557,115,122,2693,667,1022,10,4562,3870,-1
AK0021-002,EAGLE PUBLIC LIBRARY,NP,SO,Y,CI1,80,80,1,0,0.45,0.43,0.88,2000,8459,10000,4200,24659,-9,-9,-9,2522,642,3836,7000,-9,23200,0,9487,20844,593,13099,1474,0,700,2800,318,6786,20,208,6578,0,0,8,4,2,40,21,9,7,2500,8000,-1
AK0023-002,FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARIES,CO,MO,Y,CO1,97121,97121,1,1,11.12,36.98,48.1,5407932,21452,6389,78259,5514032,2773970,1609354,4383324,420551,173408,82757,676716,449606,5509646,78308,308792,357441,26509,87843,43586,43685,6307,367512,41719,678202,260351,95938,582264,722,925,762,609,55,23138,19003,1065,70,45461,0,189839
